Enter the purchase price of your home: $150000.00
Enter the term of the loan in years: 15
Enter your down payment percentage: 0.0

Loan amount: $150,000.00
  43           545.66              660.16           124,061.69          130.00
  44           542.77              663.05           123,398.64          130.00
  45           539.87              665.95           122,732.69          130.00
  46           536.96              668.86           122,063.83          130.00
  47           534.03              671.79           121,392.04          130.00
  48           531.09              674.73           120,717.31          130.00
  49           528.14              677.68           120,039.63          130.00
  50           525.17              680.65           119,358.98          130.00
  51           522.20              683.62           118,675.36            0.00
  52           519.20              686.62           117,988.74            0.00
  53           516.20              689.62           117,299.12            0.00
  54           513.18              692.64           116,606.48            0.00
  55           510.15              695.67           115,910.81            0.00
  56           507.11              698.71           115,212.10            0.00
  57           504.05              701.77           114,510.33            0.00
  58           500.98              704.84           113,805.49            0.00
  59           497.90              707.92           113,097.57            0.00
  60           494.80              711.02           112,386.55            0.00
  61           491.69              714.13           111,672.42            0.00
  62           488.57              717.25           110,955.17            0.00
  63           485.43              720.39           110,234.78            0.00
  64           482.28              723.54           109,511.24            0.00
  65           479.11              726.71           108,784.53            0.00
  66           475.93              729.89           108,054.64            0.00
  67           472.74              733.08           107,321.56            0.00
  68           469.53              736.29           106,585.27            0.00
  69           466.31              739.51           105,845.76            0.00
  70           463.08              742.74           105,103.02            0.00
  71           459.83              745.99           104,357.03            0.00
  72           456.56              749.26           103,607.77            0.00
  73           453.28              752.54           102,855.23            0.00
  74           449.99              755.83           102,099.40            0.00
  75           446.68              759.14           101,340.26            0.00
  76           443.36              762.46           100,577.80            0.00
  77           440.03              765.79            99,812.01            0.00
  78           436.68              769.14            99,042.87            0.00
  79           433.31              772.51            98,270.36            0.00
  80           429.93              775.89            97,494.47            0.00
  81           426.54              779.28            96,715.19            0.00
  82           423.13              782.69            95,932.50            0.00
  83           419.70              786.12            95,146.38            0.00
  84           416.27              789.55            94,356.83            0.00
  85           412.81              793.01            93,563.82            0.00
  86           409.34              796.48            92,767.34            0.00
  87           405.86              799.96            91,967.38            0.00
  88           402.36              803.46            91,163.92            0.00
  89           398.84              806.98            90,356.94            0.00
  90           395.31              810.51            89,546.43            0.00
  91           391.77              814.05            88,732.38            0.00
  92           388.20              817.62            87,914.76            0.00
  93           384.63              821.19            87,093.57            0.00
  94           381.03              824.79            86,268.78            0.00
  95           377.43              828.39            85,440.39            0.00
  96           373.80              832.02            84,608.37            0.00
  97           370.16              835.66            83,772.71            0.00
  98           366.51              839.31            82,933.40            0.00
  99           362.83              842.99            82,090.41            0.00
 100           359.15              846.67            81,243.74            0.00
 101           355.44              850.38            80,393.36            0.00
 102           351.72              854.10            79,539.26            0.00
 103           347.98              857.84            78,681.42            0.00
 104           344.23              861.59            77,819.83            0.00
 105           340.46              865.36            76,954.47            0.00
 106           336.68              869.14            76,085.33            0.00
 107           332.87              872.95            75,212.38            0.00
 108           329.05              876.77            74,335.61            0.00
 109           325.22              880.60            73,455.01            0.00
 110           321.37              884.45            72,570.56            0.00
 111           317.50              888.32            71,682.24            0.00
 112           313.61              892.21            70,790.03            0.00
 113           309.71              896.11            69,893.92            0.00
 114           305.79              900.03            68,993.89            0.00
 115           301.85              903.97            68,089.92            0.00
 116           297.89              907.93            67,181.99            0.00
 117           293.92              911.90            66,270.09            0.00
 118           289.93              915.89            65,354.20            0.00
 119           285.92              919.90            64,434.30            0.00
 120           281.90              923.92            63,510.38            0.00
 121           277.86              927.96            62,582.42            0.00
 122           273.80              932.02            61,650.40            0.00
 123           269.72              936.10            60,714.30            0.00
 124           265.63              940.19            59,774.11            0.00
 125           261.51              944.31            58,829.80            0.00
 126           257.38              948.44            57,881.36            0.00
 127           253.23              952.59            56,928.77            0.00
 128           249.06              956.76            55,972.01            0.00
 129           244.88              960.94            55,011.07            0.00
 130           240.67              965.15            54,045.92            0.00
 131           236.45              969.37            53,076.55            0.00
 132           232.21              973.61            52,102.94            0.00
 133           227.95              977.87            51,125.07            0.00
 134           223.67              982.15            50,142.92            0.00
 135           219.38              986.44            49,156.48            0.00
 136           215.06              990.76            48,165.72            0.00
 137           210.73              995.09            47,170.63            0.00
 138           206.37              999.45            46,171.18            0.00
 139           202.00            1,003.82            45,167.36            0.00
 140           197.61            1,008.21            44,159.15            0.00
 141           193.20            1,012.62            43,146.53            0.00
 142           188.77            1,017.05            42,129.48            0.00
 143           184.32            1,021.50            41,107.98            0.00
 144           179.85            1,025.97            40,082.01            0.00
 145           175.36            1,030.46            39,051.55            0.00
 146           170.85            1,034.97            38,016.58            0.00
 147           166.32            1,039.50            36,977.08            0.00
 148           161.77            1,044.05            35,933.03            0.00
 149           157.21            1,048.61            34,884.42            0.00
 150           152.62            1,053.20            33,831.22            0.00
 151           148.01            1,057.81            32,773.41            0.00
 152           143.38            1,062.44            31,710.97            0.00
 153           138.74            1,067.08            30,643.89            0.00
 154           134.07            1,071.75            29,572.14            0.00
 155           129.38            1,076.44            28,495.70            0.00
 156           124.67            1,081.15            27,414.55            0.00
 157           119.94            1,085.88            26,328.67            0.00
 158           115.19            1,090.63            25,238.04            0.00
 159           110.42            1,095.40            24,142.64            0.00
 160           105.62            1,100.20            23,042.44            0.00
 161           100.81            1,105.01            21,937.43            0.00
 162            95.98            1,109.84            20,827.59            0.00
 163            91.12            1,114.70            19,712.89            0.00
 164            86.24            1,119.58            18,593.31            0.00
 165            81.35            1,124.47            17,468.84            0.00
 166            76.43            1,129.39            16,339.45            0.00
 167            71.49            1,134.33            15,205.12            0.00
 168            66.52            1,139.30            14,065.82            0.00
 169            61.54            1,144.28            12,921.54            0.00
 170            56.53            1,149.29            11,772.25            0.00
 171            51.50            1,154.32            10,617.93            0.00
 172            46.45            1,159.37             9,458.56            0.00
 173            41.38            1,164.44             8,294.12            0.00
 174            36.29            1,169.53             7,124.59            0.00
 175            31.17            1,174.65             5,949.94            0.00
 176            26.03            1,179.79             4,770.15            0.00
 177            20.87            1,184.95             3,585.20            0.00
 178            15.69            1,190.13             2,395.07            0.00
 179            10.48            1,195.34             1,199.73            0.00
 180             5.25            1,200.57                -0.84            0.00
==============================================================================

Mortgage Summary
Total interest paid: $                                               67,046.76
Total payment to principal: $                                       150,000.00
Total PMI paid: $                                                     6,500.00
Total payments: $                                                   223,546.76
