Enter the purchase price of your home: $400000.00
Enter the term of the loan in years: 20
Enter your down payment percentage: 25.0

Loan amount: $300,000.00
Loan type: 20-Year Fixed, 90% or less LTV at 4.875% APR
Monthly Payment = $1,959.21
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
  62         1,010.99              948.22           247,911.92            0.00
  63         1,007.14              952.07           246,959.85            0.00
  64         1,003.27              955.94           246,003.91            0.00
  65           999.39              959.82           245,044.09            0.00
  66           995.49              963.72           244,080.37            0.00
  67           991.58              967.63           243,112.74            0.00
  68           987.65              971.56           242,141.18            0.00
  69           983.70              975.51           241,165.67            0.00
  70           979.74              979.47           240,186.20            0.00
  71           975.76              983.45           239,202.75            0.00
  72           971.76              987.45           238,215.30            0.00
  73           967.75              991.46           237,223.84            0.00
  74           963.72              995.49           236,228.35            0.00
  75           959.68              999.53           235,228.82            0.00
  76           955.62            1,003.59           234,225.23            0.00
  77           951.54            1,007.67           233,217.56            0.00
  78           947.45            1,011.76           232,205.80            0.00
  79           943.34            1,015.87           231,189.93            0.00
  80           939.21            1,020.00           230,169.93            0.00
  81           935.07            1,024.14           229,145.79            0.00
  82           930.90            1,028.31           228,117.48            0.00
  83           926.73            1,032.48           227,085.00            0.00
  84           922.53            1,036.68           226,048.32            0.00
  85           918.32            1,040.89           225,007.43            0.00
  86           914.09            1,045.12           223,962.31            0.00
  87           909.85            1,049.36           222,912.95            0.00
  88           905.58            1,053.63           221,859.32            0.00
  89           901.30            1,057.91           220,801.41            0.00
  90           897.01            1,062.20           219,739.21            0.00
  91           892.69            1,066.52           218,672.69            0.00
  92           888.36            1,070.85           217,601.84            0.00
  93           884.01            1,075.20           216,526.64            0.00
  94           879.64            1,079.57           215,447.07            0.00
  95           875.25            1,083.96           214,363.11            0.00
  96           870.85            1,088.36           213,274.75            0.00
  97           866.43            1,092.78           212,181.97            0.00
  98           861.99            1,097.22           211,084.75            0.00
  99           857.53            1,101.68           209,983.07            0.00
 100           853.06            1,106.15           208,876.92            0.00
 101           848.56            1,110.65           207,766.27            0.00
 102           844.05            1,115.16           206,651.11            0.00
 103           839.52            1,119.69           205,531.42            0.00
 104           834.97            1,124.24           204,407.18            0.00
 105           830.40            1,128.81           203,278.37            0.00
 106           825.82            1,133.39           202,144.98            0.00
 107           821.21            1,138.00           201,006.98            0.00
 108           816.59            1,142.62           199,864.36            0.00
 109           811.95            1,147.26           198,717.10            0.00
 110           807.29            1,151.92           197,565.18            0.00
 111           802.61            1,156.60           196,408.58            0.00
 112           797.91            1,161.30           195,247.28            0.00
 113           793.19            1,166.02           194,081.26            0.00
 114           788.46            1,170.75           192,910.51            0.00
 115           783.70            1,175.51           191,735.00            0.00
 116           778.92            1,180.29           190,554.71            0.00
 117           774.13            1,185.08           189,369.63            0.00
 118           769.31            1,189.90           188,179.73            0.00
 119           764.48            1,194.73           186,985.00            0.00
 120           759.63            1,199.58           185,785.42            0.00
 121           754.75            1,204.46           184,580.96            0.00
 122           749.86            1,209.35           183,371.61            0.00
 123           744.95            1,214.26           182,157.35            0.00
 124           740.01            1,219.20           180,938.15            0.00
 125           735.06            1,224.15           179,714.00            0.00
 126           730.09            1,229.12           178,484.88            0.00
 127           725.09            1,234.12           177,250.76            0.00
 128           720.08            1,239.13           176,011.63            0.00
 129           715.05            1,244.16           174,767.47            0.00
 130           709.99            1,249.22           173,518.25            0.00
 131           704.92            1,254.29           172,263.96            0.00
 132           699.82            1,259.39           171,004.57            0.00
 133           694.71            1,264.50           169,740.07            0.00
 134           689.57            1,269.64           168,470.43            0.00
 135           684.41            1,274.80           167,195.63            0.00
 136           679.23            1,279.98           165,915.65            0.00
 137           674.03            1,285.18           164,630.47            0.00
 138           668.81            1,290.40           163,340.07            0.00
 139           663.57            1,295.64           162,044.43            0.00
 140           658.31            1,300.90           160,743.53            0.00
 141           653.02            1,306.19           159,437.34            0.00
 142           647.71            1,311.50           158,125.84            0.00
 143           642.39            1,316.82           156,809.02            0.00
 144           637.04            1,322.17           155,486.85            0.00
 145           631.67            1,327.54           154,159.31            0.00
 146           626.27            1,332.94           152,826.37            0.00
 147           620.86            1,338.35           151,488.02            0.00
 148           615.42            1,343.79           150,144.23            0.00
 149           609.96            1,349.25           148,794.98            0.00
 150           604.48            1,354.73           147,440.25            0.00
 151           598.98            1,360.23           146,080.02            0.00
 152           593.45            1,365.76           144,714.26            0.00
 153           587.90            1,371.31           143,342.95            0.00
 154           582.33            1,376.88           141,966.07            0.00
 155           576.74            1,382.47           140,583.60            0.00
 156           571.12            1,388.09           139,195.51            0.00
 157           565.48            1,393.73           137,801.78            0.00
 158           559.82            1,399.39           136,402.39            0.00
 159           554.13            1,405.08           134,997.31            0.00
 160           548.43            1,410.78           133,586.53            0.00
 161           542.70            1,416.51           132,170.02            0.00
 162           536.94            1,422.27           130,747.75            0.00
 163           531.16            1,428.05           129,319.70            0.00
 164           525.36            1,433.85           127,885.85            0.00
 165           519.54            1,439.67           126,446.18            0.00
 166           513.69            1,445.52           125,000.66            0.00
 167           507.82            1,451.39           123,549.27            0.00
 168           501.92            1,457.29           122,091.98            0.00
 169           496.00            1,463.21           120,628.77            0.00
 170           490.05            1,469.16           119,159.61            0.00
 171           484.09            1,475.12           117,684.49            0.00
 172           478.09            1,481.12           116,203.37            0.00
 173           472.08            1,487.13           114,716.24            0.00
 174           466.03            1,493.18           113,223.06            0.00
 175           459.97            1,499.24           111,723.82            0.00
 176           453.88            1,505.33           110,218.49            0.00
 177           447.76            1,511.45           108,707.04            0.00
 178           441.62            1,517.59           107,189.45            0.00
 179           435.46            1,523.75           105,665.70            0.00
 180           429.27            1,529.94           104,135.76            0.00
 181           423.05            1,536.16           102,599.60            0.00
 182           416.81            1,542.40           101,057.20            0.00
 183           410.54            1,548.67            99,508.53            0.00
 184           404.25            1,554.96            97,953.57            0.00
 185           397.94            1,561.27            96,392.30            0.00
 186           391.59            1,567.62            94,824.68            0.00
 187           385.23            1,573.98            93,250.70            0.00
 188           378.83            1,580.38            91,670.32            0.00
 189           372.41            1,586.80            90,083.52            0.00
 190           365.96            1,593.25            88,490.27            0.00
 191           359.49            1,599.72            86,890.55            0.00
 192           352.99            1,606.22            85,284.33            0.00
 193           346.47            1,612.74            83,671.59            0.00
 194           339.92            1,619.29            82,052.30            0.00
 195           333.34            1,625.87            80,426.43            0.00
 196           326.73            1,632.48            78,793.95            0.00
 197           320.10            1,639.11            77,154.84            0.00
 198           313.44            1,645.77            75,509.07            0.00
 199           306.76            1,652.45            73,856.62            0.00
 200           300.04            1,659.17            72,197.45            0.00
 201           293.30            1,665.91            70,531.54            0.00
 202           286.53            1,672.68            68,858.86            0.00
 203           279.74            1,679.47            67,179.39            0.00
 204           272.92            1,686.29            65,493.10            0.00
 205           266.07            1,693.14            63,799.96            0.00
 206           259.19            1,700.02            62,099.94            0.00
 207           252.28            1,706.93            60,393.01            0.00
 208           245.35            1,713.86            58,679.15            0.00
 209           238.38            1,720.83            56,958.32            0.00
 210           231.39            1,727.82            55,230.50            0.00
 211           224.37            1,734.84            53,495.66            0.00
 212           217.33            1,741.88            51,753.78            0.00
 213           210.25            1,748.96            50,004.82            0.00
 214           203.14            1,756.07            48,248.75            0.00
 215           196.01            1,763.20            46,485.55            0.00
 216           188.85            1,770.36            44,715.19            0.00
 217           181.66            1,777.55            42,937.64            0.00
 218           174.43            1,784.78            41,152.86            0.00
 219           167.18            1,792.03            39,360.83            0.00
 220           159.90            1,799.31            37,561.52            0.00
 221           152.59            1,806.62            35,754.90            0.00
 222           145.25            1,813.96            33,940.94            0.00
 223           137.89            1,821.32            32,119.62            0.00
 224           130.49            1,828.72            30,290.90            0.00
 225           123.06            1,836.15            28,454.75            0.00
 226           115.60            1,843.61            26,611.14            0.00
 227           108.11            1,851.10            24,760.04            0.00
 228           100.59            1,858.62            22,901.42            0.00
 229            93.04            1,866.17            21,035.25            0.00
 230            85.46            1,873.75            19,161.50            0.00
 231            77.84            1,881.37            17,280.13            0.00
 232            70.20            1,889.01            15,391.12            0.00
 233            62.53            1,896.68            13,494.44            0.00
 234            54.82            1,904.39            11,590.05            0.00
 235            47.08            1,912.13             9,677.92            0.00
 236            39.32            1,919.89             7,758.03            0.00
 237            31.52            1,927.69             5,830.34            0.00
 238            23.69            1,935.52             3,894.82            0.00
 239            15.82            1,943.39             1,951.43            0.00
 240             7.93            1,951.28                 0.15            0.00
==============================================================================

Mortgage Summary
Total interest paid: $                                              170,210.55
Total payment to principal: $                                       300,000.00
Total PMI paid: $                                                         0.00
Total payments: $                                                   470,210.55
