Enter the purchase price of your home: $285900.00
Enter the term of the loan in years: 30
Enter your down payment percentage: 10.0

Loan amount: $257,310.00
Loan type: 30-Year Fixed, 90% or less LTV at 5.375% APR
Monthly Payment = $1,440.86
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
  62         1,062.17              378.69           236,757.67          146.88
  63         1,060.48              380.38           236,377.29          146.88
  64         1,058.77              382.09           235,995.20          146.88
  65         1,057.06              383.80           235,611.40          146.88
  66         1,055.34              385.52           235,225.88          146.88
  67         1,053.62              387.24           234,838.64          146.88
  68         1,051.88              388.98           234,449.66          146.88
  69         1,050.14              390.72           234,058.94          146.88
  70         1,048.39              392.47           233,666.47          146.88
  71         1,046.63              394.23           233,272.24          146.88
  72         1,044.87              395.99           232,876.25          146.88
  73         1,043.09              397.77           232,478.48          146.88
  74         1,041.31              399.55           232,078.93          146.88
  75         1,039.52              401.34           231,677.59          146.88
  76         1,037.72              403.14           231,274.45          146.88
  77         1,035.92              404.94           230,869.51          146.88
  78         1,034.10              406.76           230,462.75          146.88
  79         1,032.28              408.58           230,054.17          146.88
  80         1,030.45              410.41           229,643.76          146.88
  81         1,028.61              412.25           229,231.51          146.88
  82         1,026.77              414.09           228,817.42          146.88
  83         1,024.91              415.95           228,401.47          146.88
  84         1,023.05              417.81           227,983.66            0.00
  85         1,021.18              419.68           227,563.98            0.00
  86         1,019.30              421.56           227,142.42            0.00
  87         1,017.41              423.45           226,718.97            0.00
  88         1,015.51              425.35           226,293.62            0.00
  89         1,013.61              427.25           225,866.37            0.00
  90         1,011.69              429.17           225,437.20            0.00
  91         1,009.77              431.09           225,006.11            0.00
  92         1,007.84              433.02           224,573.09            0.00
  93         1,005.90              434.96           224,138.13            0.00
  94         1,003.95              436.91           223,701.22            0.00
  95         1,002.00              438.86           223,262.36            0.00
  96         1,000.03              440.83           222,821.53            0.00
  97           998.05              442.81           222,378.72            0.00
  98           996.07              444.79           221,933.93            0.00
  99           994.08              446.78           221,487.15            0.00
 100           992.08              448.78           221,038.37            0.00
 101           990.07              450.79           220,587.58            0.00
 102           988.05              452.81           220,134.77            0.00
 103           986.02              454.84           219,679.93            0.00
 104           983.98              456.88           219,223.05            0.00
 105           981.94              458.92           218,764.13            0.00
 106           979.88              460.98           218,303.15            0.00
 107           977.82              463.04           217,840.11            0.00
 108           975.74              465.12           217,374.99            0.00
 109           973.66              467.20           216,907.79            0.00
 110           971.57              469.29           216,438.50            0.00
 111           969.46              471.40           215,967.10            0.00
 112           967.35              473.51           215,493.59            0.00
 113           965.23              475.63           215,017.96            0.00
 114           963.10              477.76           214,540.20            0.00
 115           960.96              479.90           214,060.30            0.00
 116           958.81              482.05           213,578.25            0.00
 117           956.65              484.21           213,094.04            0.00
 118           954.48              486.38           212,607.66            0.00
 119           952.31              488.55           212,119.11            0.00
 120           950.12              490.74           211,628.37            0.00
 121           947.92              492.94           211,135.43            0.00
 122           945.71              495.15           210,640.28            0.00
 123           943.49              497.37           210,142.91            0.00
 124           941.27              499.59           209,643.32            0.00
 125           939.03              501.83           209,141.49            0.00
 126           936.78              504.08           208,637.41            0.00
 127           934.52              506.34           208,131.07            0.00
 128           932.25              508.61           207,622.46            0.00
 129           929.98              510.88           207,111.58            0.00
 130           927.69              513.17           206,598.41            0.00
 131           925.39              515.47           206,082.94            0.00
 132           923.08              517.78           205,565.16            0.00
 133           920.76              520.10           205,045.06            0.00
 134           918.43              522.43           204,522.63            0.00
 135           916.09              524.77           203,997.86            0.00
 136           913.74              527.12           203,470.74            0.00
 137           911.38              529.48           202,941.26            0.00
 138           909.01              531.85           202,409.41            0.00
 139           906.63              534.23           201,875.18            0.00
 140           904.23              536.63           201,338.55            0.00
 141           901.83              539.03           200,799.52            0.00
 142           899.41              541.45           200,258.07            0.00
 143           896.99              543.87           199,714.20            0.00
 144           894.55              546.31           199,167.89            0.00
 145           892.11              548.75           198,619.14            0.00
 146           889.65              551.21           198,067.93            0.00
 147           887.18              553.68           197,514.25            0.00
 148           884.70              556.16           196,958.09            0.00
 149           882.21              558.65           196,399.44            0.00
 150           879.71              561.15           195,838.29            0.00
 151           877.19              563.67           195,274.62            0.00
 152           874.67              566.19           194,708.43            0.00
 153           872.13              568.73           194,139.70            0.00
 154           869.58              571.28           193,568.42            0.00
 155           867.03              573.83           192,994.59            0.00
 156           864.45              576.41           192,418.18            0.00
 157           861.87              578.99           191,839.19            0.00
 158           859.28              581.58           191,257.61            0.00
 159           856.67              584.19           190,673.42            0.00
 160           854.06              586.80           190,086.62            0.00
 161           851.43              589.43           189,497.19            0.00
 162           848.79              592.07           188,905.12            0.00
 163           846.14              594.72           188,310.40            0.00
 164           843.47              597.39           187,713.01            0.00
 165           840.80              600.06           187,112.95            0.00
 166           838.11              602.75           186,510.20            0.00
 167           835.41              605.45           185,904.75            0.00
 168           832.70              608.16           185,296.59            0.00
 169           829.97              610.89           184,685.70            0.00
 170           827.24              613.62           184,072.08            0.00
 171           824.49              616.37           183,455.71            0.00
 172           821.73              619.13           182,836.58            0.00
 173           818.96              621.90           182,214.68            0.00
 174           816.17              624.69           181,589.99            0.00
 175           813.37              627.49           180,962.50            0.00
 176           810.56              630.30           180,332.20            0.00
 177           807.74              633.12           179,699.08            0.00
 178           804.90              635.96           179,063.12            0.00
 179           802.05              638.81           178,424.31            0.00
 180           799.19              641.67           177,782.64            0.00
 181           796.32              644.54           177,138.10            0.00
 182           793.43              647.43           176,490.67            0.00
 183           790.53              650.33           175,840.34            0.00
 184           787.62              653.24           175,187.10            0.00
 185           784.69              656.17           174,530.93            0.00
 186           781.75              659.11           173,871.82            0.00
 187           778.80              662.06           173,209.76            0.00
 188           775.84              665.02           172,544.74            0.00
 189           772.86              668.00           171,876.74            0.00
 190           769.86              671.00           171,205.74            0.00
 191           766.86              674.00           170,531.74            0.00
 192           763.84              677.02           169,854.72            0.00
 193           760.81              680.05           169,174.67            0.00
 194           757.76              683.10           168,491.57            0.00
 195           754.70              686.16           167,805.41            0.00
 196           751.63              689.23           167,116.18            0.00
 197           748.54              692.32           166,423.86            0.00
 198           745.44              695.42           165,728.44            0.00
 199           742.33              698.53           165,029.91            0.00
 200           739.20              701.66           164,328.25            0.00
 201           736.05              704.81           163,623.44            0.00
 202           732.90              707.96           162,915.48            0.00
 203           729.73              711.13           162,204.35            0.00
 204           726.54              714.32           161,490.03            0.00
 205           723.34              717.52           160,772.51            0.00
 206           720.13              720.73           160,051.78            0.00
 207           716.90              723.96           159,327.82            0.00
 208           713.66              727.20           158,600.62            0.00
 209           710.40              730.46           157,870.16            0.00
 210           707.13              733.73           157,136.43            0.00
 211           703.84              737.02           156,399.41            0.00
 212           700.54              740.32           155,659.09            0.00
 213           697.22              743.64           154,915.45            0.00
 214           693.89              746.97           154,168.48            0.00
 215           690.55              750.31           153,418.17            0.00
 216           687.19              753.67           152,664.50            0.00
 217           683.81              757.05           151,907.45            0.00
 218           680.42              760.44           151,147.01            0.00
 219           677.01              763.85           150,383.16            0.00
 220           673.59              767.27           149,615.89            0.00
 221           670.15              770.71           148,845.18            0.00
 222           666.70              774.16           148,071.02            0.00
 223           663.23              777.63           147,293.39            0.00
 224           659.75              781.11           146,512.28            0.00
 225           656.25              784.61           145,727.67            0.00
 226           652.74              788.12           144,939.55            0.00
 227           649.21              791.65           144,147.90            0.00
 228           645.66              795.20           143,352.70            0.00
 229           642.10              798.76           142,553.94            0.00
 230           638.52              802.34           141,751.60            0.00
 231           634.93              805.93           140,945.67            0.00
 232           631.32              809.54           140,136.13            0.00
 233           627.69              813.17           139,322.96            0.00
 234           624.05              816.81           138,506.15            0.00
 235           620.39              820.47           137,685.68            0.00
 236           616.72              824.14           136,861.54            0.00
 237           613.03              827.83           136,033.71            0.00
 238           609.32              831.54           135,202.17            0.00
 239           605.59              835.27           134,366.90            0.00
 240           601.85              839.01           133,527.89            0.00
 241           598.09              842.77           132,685.12            0.00
 242           594.32              846.54           131,838.58            0.00
 243           590.53              850.33           130,988.25            0.00
 244           586.72              854.14           130,134.11            0.00
 245           582.89              857.97           129,276.14            0.00
 246           579.05              861.81           128,414.33            0.00
 247           575.19              865.67           127,548.66            0.00
 248           571.31              869.55           126,679.11            0.00
 249           567.42              873.44           125,805.67            0.00
 250           563.50              877.36           124,928.31            0.00
 251           559.57              881.29           124,047.02            0.00
 252           555.63              885.23           123,161.79            0.00
 253           551.66              889.20           122,272.59            0.00
 254           547.68              893.18           121,379.41            0.00
 255           543.68              897.18           120,482.23            0.00
 256           539.66              901.20           119,581.03            0.00
 257           535.62              905.24           118,675.79            0.00
 258           531.57              909.29           117,766.50            0.00
 259           527.50              913.36           116,853.14            0.00
 260           523.40              917.46           115,935.68            0.00
 261           519.30              921.56           115,014.12            0.00
 262           515.17              925.69           114,088.43            0.00
 263           511.02              929.84           113,158.59            0.00
 264           506.86              934.00           112,224.59            0.00
 265           502.67              938.19           111,286.40            0.00
 266           498.47              942.39           110,344.01            0.00
 267           494.25              946.61           109,397.40            0.00
 268           490.01              950.85           108,446.55            0.00
 269           485.75              955.11           107,491.44            0.00
 270           481.47              959.39           106,532.05            0.00
 271           477.17              963.69           105,568.36            0.00
 272           472.86              968.00           104,600.36            0.00
 273           468.52              972.34           103,628.02            0.00
 274           464.17              976.69           102,651.33            0.00
 275           459.79              981.07           101,670.26            0.00
 276           455.40              985.46           100,684.80            0.00
 277           450.98              989.88            99,694.92            0.00
 278           446.55              994.31            98,700.61            0.00
 279           442.10              998.76            97,701.85            0.00
 280           437.62            1,003.24            96,698.61            0.00
 281           433.13            1,007.73            95,690.88            0.00
 282           428.62            1,012.24            94,678.64            0.00
 283           424.08            1,016.78            93,661.86            0.00
 284           419.53            1,021.33            92,640.53            0.00
 285           414.95            1,025.91            91,614.62            0.00
 286           410.36            1,030.50            90,584.12            0.00
 287           405.74            1,035.12            89,549.00            0.00
 288           401.10            1,039.76            88,509.24            0.00
 289           396.45            1,044.41            87,464.83            0.00
 290           391.77            1,049.09            86,415.74            0.00
 291           387.07            1,053.79            85,361.95            0.00
 292           382.35            1,058.51            84,303.44            0.00
 293           377.61            1,063.25            83,240.19            0.00
 294           372.85            1,068.01            82,172.18            0.00
 295           368.06            1,072.80            81,099.38            0.00
 296           363.26            1,077.60            80,021.78            0.00
 297           358.43            1,082.43            78,939.35            0.00
 298           353.58            1,087.28            77,852.07            0.00
 299           348.71            1,092.15            76,759.92            0.00
 300           343.82            1,097.04            75,662.88            0.00
 301           338.91            1,101.95            74,560.93            0.00
 302           333.97            1,106.89            73,454.04            0.00
 303           329.01            1,111.85            72,342.19            0.00
 304           324.03            1,116.83            71,225.36            0.00
 305           319.03            1,121.83            70,103.53            0.00
 306           314.01            1,126.85            68,976.68            0.00
 307           308.96            1,131.90            67,844.78            0.00
 308           303.89            1,136.97            66,707.81            0.00
 309           298.80            1,142.06            65,565.75            0.00
 310           293.68            1,147.18            64,418.57            0.00
 311           288.54            1,152.32            63,266.25            0.00
 312           283.38            1,157.48            62,108.77            0.00
 313           278.20            1,162.66            60,946.11            0.00
 314           272.99            1,167.87            59,778.24            0.00
 315           267.76            1,173.10            58,605.14            0.00
 316           262.50            1,178.36            57,426.78            0.00
 317           257.22            1,183.64            56,243.14            0.00
 318           251.92            1,188.94            55,054.20            0.00
 319           246.60            1,194.26            53,859.94            0.00
 320           241.25            1,199.61            52,660.33            0.00
 321           235.87            1,204.99            51,455.34            0.00
 322           230.48            1,210.38            50,244.96            0.00
 323           225.06            1,215.80            49,029.16            0.00
 324           219.61            1,221.25            47,807.91            0.00
 325           214.14            1,226.72            46,581.19            0.00
 326           208.64            1,232.22            45,348.97            0.00
 327           203.13            1,237.73            44,111.24            0.00
 328           197.58            1,243.28            42,867.96            0.00
 329           192.01            1,248.85            41,619.11            0.00
 330           186.42            1,254.44            40,364.67            0.00
 331           180.80            1,260.06            39,104.61            0.00
 332           175.16            1,265.70            37,838.91            0.00
 333           169.49            1,271.37            36,567.54            0.00
 334           163.79            1,277.07            35,290.47            0.00
 335           158.07            1,282.79            34,007.68            0.00
 336           152.33            1,288.53            32,719.15            0.00
 337           146.55            1,294.31            31,424.84            0.00
 338           140.76            1,300.10            30,124.74            0.00
 339           134.93            1,305.93            28,818.81            0.00
 340           129.08            1,311.78            27,507.03            0.00
 341           123.21            1,317.65            26,189.38            0.00
 342           117.31            1,323.55            24,865.83            0.00
 343           111.38            1,329.48            23,536.35            0.00
 344           105.42            1,335.44            22,200.91            0.00
 345            99.44            1,341.42            20,859.49            0.00
 346            93.43            1,347.43            19,512.06            0.00
 347            87.40            1,353.46            18,158.60            0.00
 348            81.34            1,359.52            16,799.08            0.00
 349            75.25            1,365.61            15,433.47            0.00
 350            69.13            1,371.73            14,061.74            0.00
 351            62.98            1,377.88            12,683.86            0.00
 352            56.81            1,384.05            11,299.81            0.00
 353            50.61            1,390.25             9,909.56            0.00
 354            44.39            1,396.47             8,513.09            0.00
 355            38.13            1,402.73             7,110.36            0.00
 356            31.85            1,409.01             5,701.35            0.00
 357            25.54            1,415.32             4,286.03            0.00
 358            19.20            1,421.66             2,864.37            0.00
 359            12.83            1,428.03             1,436.34            0.00
 360             6.43            1,434.43                 1.91            0.00
==============================================================================

Mortgage Summary
Total interest paid: $                                              261,401.51
Total payment to principal: $                                       257,310.00
Total PMI paid: $                                                    12,191.04
Total payments: $                                                   530,902.55
